,ABX.TO,AEM.TO,AQN.TO,ATD.TO,BAM.TO,BCE.TO,BIP-UN.TO,BMO.TO,BN.TO,BNS.TO,CAE.TO,CAR-UN.TO,CCL-B.TO,CCO.TO,CM.TO,CNQ.TO,CNR.TO,CP.TO,CSU.TO,CTC-A.TO,CVE.TO,DOL.TO,EMA.TO,ENB.TO,FM.TO,FNV.TO,FSV.TO,FTS.TO,GIB-A.TO,GIL.TO,H.TO,IFC.TO,IMO.TO,K.TO,L.TO,MFC.TO,MG.TO,MRU.TO,NA.TO,NTR.TO,OTEX.TO,POW.TO,PPL.TO,QSR.TO,RCI-B.TO,RY.TO,SAP.TO,SHOP.TO,SLF.TO,SU.TO,T.TO,TD.TO,TECK-B.TO,TOU.TO,TRI.TO,TRP.TO,WCN.TO,WN.TO,WPM.TO,WSP.TO
ABX.TO,1.0,0.7961,0.1359,0.0606,0.0744,0.0914,0.0818,-0.0315,0.0646,-0.005,-0.0361,0.1384,-0.0561,0.1842,-0.005,0.0237,0.0732,0.0824,0.0672,0.0172,0.0154,0.083,0.1532,0.0916,0.2116,0.7484,0.097,0.182,0.0841,0.0019,0.1375,0.1286,0.0438,0.7937,0.0563,-0.0084,0.0293,0.089,0.001,0.0675,0.0843,0.0713,0.1485,0.0683,0.0582,0.0511,0.0792,0.0903,0.043,0.0379,0.0798,-0.0142,0.1362,0.0283,0.0742,0.0956,0.1012,0.0834,0.7956,0.0484
AEM.TO,0.7961,1.0,0.1268,0.072,0.0961,0.1044,0.103,-0.0199,0.0672,-0.0018,-0.022,0.1279,-0.0283,0.2257,-0.0027,0.0517,0.0877,0.1113,0.1097,0.0247,0.0506,0.0731,0.1503,0.0938,0.2487,0.7339,0.1022,0.1729,0.0987,0.01,0.1307,0.1561,0.0857,0.7634,0.0503,0.0242,0.0703,0.097,0.0223,0.0792,0.11,0.0739,0.1847,0.0565,0.0679,0.0804,0.092,0.1073,0.0569,0.0631,0.0875,-0.0027,0.2047,0.0825,0.0747,0.0847,0.1083,0.0776,0.7654,0.0609
AQN.TO,0.1359,0.1268,1.0,0.3119,0.2238,0.5735,0.533,0.4587,0.484,0.4875,0.3305,0.4278,0.3198,0.1781,0.4441,0.2625,0.3645,0.3793,0.2483,0.3883,0.1612,0.3232,0.6778,0.4828,0.2088,0.118,0.3814,0.6848,0.3563,0.2644,0.5978,0.4008,0.2121,0.1282,0.4369,0.3914,0.2878,0.396,0.4776,0.3175,0.3575,0.4718,0.413,0.359,0.4292,0.479,0.3198,0.1854,0.4513,0.246,0.5239,0.4561,0.1874,0.1685,0.4134,0.4886,0.3906,0.4402,0.143,0.3947
ATD.TO,0.0606,0.072,0.3119,1.0,0.175,0.4539,0.3937,0.4271,0.4499,0.4053,0.3164,0.2938,0.3736,0.1826,0.3993,0.2773,0.4034,0.3773,0.364,0.3951,0.2248,0.3979,0.3615,0.4137,0.235,0.0944,0.366,0.379,0.4263,0.3086,0.3209,0.392,0.2517,0.0659,0.447,0.3833,0.3207,0.4895,0.4306,0.2569,0.4298,0.4236,0.3647,0.3802,0.3609,0.4269,0.3759,0.2736,0.4452,0.2554,0.407,0.4069,0.2426,0.1478,0.426,0.3813,0.4196,0.4874,0.116,0.3604
BAM.TO,0.0744,0.0961,0.2238,0.175,1.0,0.2356,0.3844,0.527,0.6085,0.416,0.2348,0.4405,0.2452,0.1419,0.4541,0.2641,0.232,0.255,0.3124,0.3357,0.1442,0.1944,0.2236,0.2167,0.1339,0.1111,0.3049,0.1132,0.2625,0.2491,0.1414,0.2073,0.2123,0.1482,0.1403,0.4284,0.3244,0.1562,0.3978,0.2816,0.3401,0.3542,0.2625,0.1427,0.2382,0.4224,0.1338,0.3061,0.3898,0.1418,0.2368,0.3968,0.1698,0.2212,0.1513,0.224,0.1258,0.146,0.1507,0.3122
BCE.TO,0.0914,0.1044,0.5735,0.4539,0.2356,1.0,0.626,0.6443,0.5998,0.6527,0.4256,0.4367,0.4184,0.2076,0.6049,0.4267,0.5076,0.5081,0.3192,0.503,0.3327,0.3722,0.7038,0.6622,0.3118,0.1,0.4363,0.735,0.4724,0.3434,0.6051,0.5241,0.3915,0.0934,0.5679,0.5894,0.3917,0.4924,0.6162,0.4015,0.4327,0.6669,0.5767,0.4099,0.7037,0.6746,0.4515,0.148,0.6104,0.4205,0.8348,0.6241,0.3403,0.2319,0.5115,0.6585,0.4618,0.5801,0.0947,0.4397
BIP-UN.TO,0.0818,0.103,0.533,0.3937,0.3844,0.626,1.0,0.6025,0.6596,0.5973,0.4505,0.4545,0.3921,0.1951,0.5771,0.3828,0.4511,0.4656,0.2809,0.5172,0.3374,0.3584,0.6458,0.5636,0.3075,0.0807,0.457,0.6237,0.3897,0.3357,0.5922,0.4385,0.3814,0.1007,0.3981,0.5722,0.4032,0.3629,0.609,0.4111,0.4138,0.6144,0.5316,0.4417,0.5045,0.5996,0.3798,0.1907,0.5662,0.3927,0.5645,0.5857,0.3435,0.2742,0.4326,0.5407,0.3743,0.4393,0.1078,0.4286
BMO.TO,-0.0315,-0.0199,0.4587,0.4271,0.527,0.6443,0.6025,1.0,0.6996,0.8498,0.579,0.4266,0.5086,0.2575,0.8555,0.6058,0.5527,0.5691,0.3063,0.6372,0.5348,0.3271,0.5449,0.6974,0.4561,-0.0468,0.4441,0.5304,0.4515,0.4768,0.4436,0.4759,0.5849,-0.0054,0.3868,0.7821,0.5749,0.3214,0.8219,0.5091,0.4514,0.7601,0.6756,0.5085,0.5114,0.8377,0.4344,0.2096,0.7616,0.5933,0.6043,0.8488,0.5025,0.3547,0.398,0.6522,0.3123,0.4594,-0.0089,0.5283
BN.TO,0.0646,0.0672,0.484,0.4499,0.6085,0.5998,0.6596,0.6996,1.0,0.6871,0.5714,0.518,0.463,0.2928,0.6414,0.4582,0.5415,0.5191,0.4027,0.5664,0.4,0.3924,0.5419,0.5865,0.4225,0.0634,0.5212,0.5332,0.5333,0.4732,0.4624,0.4612,0.4598,0.0856,0.3296,0.6889,0.5956,0.3136,0.6524,0.4331,0.5537,0.6594,0.5418,0.49,0.4639,0.684,0.4135,0.349,0.6643,0.4689,0.5702,0.677,0.4142,0.2946,0.4862,0.57,0.407,0.4107,0.084,0.5126
BNS.TO,-0.005,-0.0018,0.4875,0.4053,0.416,0.6527,0.5973,0.8498,0.6871,1.0,0.5612,0.4409,0.4979,0.227,0.824,0.573,0.5375,0.5433,0.2854,0.5846,0.4816,0.3318,0.5718,0.6819,0.4274,-0.0144,0.4202,0.5618,0.4434,0.4633,0.4527,0.4691,0.5359,0.0348,0.4028,0.7516,0.5405,0.3337,0.7976,0.4957,0.4401,0.7295,0.6568,0.4893,0.513,0.8157,0.4512,0.2094,0.7454,0.5665,0.6092,0.8368,0.4653,0.3232,0.3858,0.6476,0.3081,0.4646,0.016,0.4974
CAE.TO,-0.0361,-0.022,0.3305,0.3164,0.2348,0.4256,0.4505,0.579,0.5714,0.5612,1.0,0.4033,0.3911,0.2289,0.5099,0.4335,0.4002,0.4077,0.3029,0.503,0.3809,0.2948,0.3742,0.5061,0.3217,-0.0915,0.3737,0.3625,0.4182,0.4608,0.3188,0.3436,0.4425,-0.0188,0.1661,0.5694,0.5319,0.1728,0.5366,0.3423,0.3855,0.5124,0.5421,0.4985,0.3464,0.5298,0.3273,0.2153,0.5186,0.4524,0.4256,0.5203,0.3591,0.241,0.321,0.4419,0.2315,0.2643,-0.0264,0.4187
CAR-UN.TO,0.1384,0.1279,0.4278,0.2938,0.4405,0.4367,0.4545,0.4266,0.518,0.4409,0.4033,1.0,0.31,0.1518,0.4043,0.2649,0.2903,0.2833,0.2812,0.362,0.231,0.2316,0.4844,0.4041,0.2367,0.0973,0.4459,0.4318,0.3697,0.3161,0.4359,0.294,0.2002,0.1535,0.2987,0.3537,0.3466,0.2667,0.4238,0.226,0.3951,0.3865,0.3657,0.334,0.3669,0.4489,0.269,0.2523,0.3981,0.27,0.3973,0.3984,0.1959,0.1566,0.3074,0.3476,0.328,0.3708,0.1482,0.3447
CCL-B.TO,-0.0561,-0.0283,0.3198,0.3736,0.2452,0.4184,0.3921,0.5086,0.463,0.4979,0.3911,0.31,1.0,0.208,0.4767,0.3722,0.4311,0.4071,0.3097,0.3898,0.2668,0.3308,0.3604,0.4391,0.2674,-0.0517,0.3809,0.3703,0.397,0.3898,0.3128,0.3475,0.3132,-0.0459,0.3178,0.4888,0.4078,0.295,0.4987,0.366,0.4135,0.4759,0.4058,0.4266,0.3416,0.4756,0.3544,0.2575,0.491,0.3386,0.4312,0.4816,0.3531,0.2137,0.3517,0.4169,0.2992,0.3557,-0.0102,0.3988
CCO.TO,0.1842,0.2257,0.1781,0.1826,0.1419,0.2076,0.1951,0.2575,0.2928,0.227,0.2289,0.1518,0.208,1.0,0.2257,0.3644,0.2672,0.2443,0.2375,0.2013,0.3439,0.1569,0.1388,0.3311,0.313,0.1701,0.1837,0.151,0.2285,0.2301,0.1373,0.1777,0.3402,0.1675,0.0913,0.2705,0.305,0.0842,0.22,0.2811,0.263,0.2291,0.3196,0.2075,0.1666,0.2524,0.1878,0.2134,0.2486,0.345,0.1946,0.2429,0.3791,0.2711,0.1486,0.2722,0.1578,0.1512,0.1887,0.2238
CM.TO,-0.005,-0.0027,0.4441,0.3993,0.4541,0.6049,0.5771,0.8555,0.6414,0.824,0.5099,0.4043,0.4767,0.2257,1.0,0.5526,0.5135,0.5241,0.2571,0.5877,0.4954,0.289,0.5241,0.6729,0.4349,-0.0084,0.4023,0.5053,0.3893,0.4363,0.4192,0.4427,0.5086,0.0317,0.3786,0.716,0.538,0.3251,0.7889,0.4792,0.4227,0.716,0.6094,0.4512,0.4897,0.8044,0.4087,0.2032,0.7443,0.5351,0.5653,0.7972,0.4651,0.3389,0.3494,0.6363,0.2921,0.4401,0.0128,0.4677
CNQ.TO,0.0237,0.0517,0.2625,0.2773,0.2641,0.4267,0.3828,0.6058,0.4582,0.573,0.4335,0.2649,0.3722,0.3644,0.5526,1.0,0.4235,0.4476,0.1935,0.4107,0.8158,0.1707,0.3119,0.6568,0.4231,0.008,0.1607,0.2981,0.332,0.3676,0.2347,0.3154,0.7904,0.0213,0.1907,0.6233,0.4274,0.0843,0.5579,0.5081,0.2876,0.5317,0.6931,0.3786,0.316,0.5284,0.3025,0.0994,0.5509,0.8402,0.4161,0.5676,0.5455,0.5107,0.2053,0.5661,0.1638,0.2591,0.0319,0.377
CNR.TO,0.0732,0.0877,0.3645,0.4034,0.232,0.5076,0.4511,0.5527,0.5415,0.5375,0.4002,0.2903,0.4311,0.2672,0.5135,0.4235,1.0,0.7484,0.3733,0.4076,0.341,0.3533,0.4195,0.516,0.3713,0.0965,0.3739,0.4276,0.4583,0.3723,0.3541,0.4031,0.3525,0.0726,0.338,0.5428,0.4327,0.3407,0.5242,0.3875,0.4802,0.5232,0.4493,0.4156,0.3926,0.5664,0.405,0.2483,0.5661,0.3764,0.491,0.555,0.3958,0.2507,0.438,0.4525,0.4451,0.3906,0.1011,0.4651
CP.TO,0.0824,0.1113,0.3793,0.3773,0.255,0.5081,0.4656,0.5691,0.5191,0.5433,0.4077,0.2833,0.4071,0.2443,0.5241,0.4476,0.7484,1.0,0.3583,0.4142,0.3941,0.3399,0.4292,0.5156,0.3773,0.1026,0.3552,0.4438,0.4128,0.3604,0.371,0.4004,0.3615,0.0767,0.35,0.5417,0.4454,0.3103,0.5313,0.3727,0.4534,0.5313,0.4855,0.4091,0.3683,0.5686,0.3946,0.2596,0.5704,0.3847,0.4861,0.5766,0.394,0.2491,0.4199,0.444,0.4348,0.4074,0.1082,0.4687
CSU.TO,0.0672,0.1097,0.2483,0.364,0.3124,0.3192,0.2809,0.3063,0.4027,0.2854,0.3029,0.2812,0.3097,0.2375,0.2571,0.1935,0.3733,0.3583,1.0,0.2707,0.1413,0.337,0.2694,0.3013,0.2148,0.0896,0.4224,0.295,0.5069,0.2768,0.2511,0.3506,0.1586,0.0532,0.2473,0.3427,0.3281,0.2534,0.3103,0.2296,0.5258,0.3384,0.2526,0.2886,0.2462,0.3532,0.2634,0.4066,0.3348,0.156,0.3124,0.289,0.2379,0.1438,0.4036,0.2451,0.3256,0.2779,0.1104,0.3582
CTC-A.TO,0.0172,0.0247,0.3883,0.3951,0.3357,0.503,0.5172,0.6372,0.5664,0.5846,0.503,0.362,0.3898,0.2013,0.5877,0.4107,0.4076,0.4142,0.2707,1.0,0.3464,0.3991,0.4375,0.5124,0.3426,-0.0023,0.4156,0.4425,0.4215,0.4558,0.3753,0.3961,0.4441,0.0159,0.3126,0.5984,0.5372,0.28,0.5927,0.3681,0.3837,0.5855,0.5246,0.4869,0.4168,0.5797,0.3695,0.2394,0.5777,0.4164,0.4896,0.5766,0.3711,0.2502,0.3475,0.4879,0.241,0.3681,0.0083,0.4506
CVE.TO,0.0154,0.0506,0.1612,0.2248,0.1442,0.3327,0.3374,0.5348,0.4,0.4816,0.3809,0.231,0.2668,0.3439,0.4954,0.8158,0.341,0.3941,0.1413,0.3464,1.0,0.0985,0.2236,0.5845,0.4085,0.0495,0.1457,0.2096,0.2411,0.3023,0.1699,0.3185,0.7369,0.0479,0.1403,0.4917,0.3799,0.0254,0.4613,0.4197,0.239,0.4331,0.6293,0.2704,0.2391,0.4388,0.2231,0.0811,0.4497,0.7623,0.3015,0.5062,0.5152,0.4801,0.1299,0.4881,0.0808,0.2082,0.0434,0.2877
DOL.TO,0.083,0.0731,0.3232,0.3979,0.1944,0.3722,0.3584,0.3271,0.3924,0.3318,0.2948,0.2316,0.3308,0.1569,0.289,0.1707,0.3533,0.3399,0.337,0.3991,0.0985,1.0,0.3369,0.3304,0.1945,0.0823,0.357,0.3716,0.4124,0.2974,0.3329,0.3504,0.1934,0.0883,0.3585,0.348,0.2935,0.3832,0.333,0.2147,0.3617,0.3487,0.3013,0.3708,0.311,0.3689,0.2795,0.2091,0.3612,0.1838,0.3672,0.3229,0.1896,0.1483,0.3949,0.3112,0.3334,0.3704,0.0647,0.3472
EMA.TO,0.1532,0.1503,0.6778,0.3615,0.2236,0.7038,0.6458,0.5449,0.5419,0.5718,0.3742,0.4844,0.3604,0.1388,0.5241,0.3119,0.4195,0.4292,0.2694,0.4375,0.2236,0.3369,1.0,0.5719,0.237,0.1372,0.4033,0.8688,0.4088,0.2897,0.7622,0.4438,0.2499,0.1301,0.5309,0.4649,0.2855,0.4761,0.5579,0.3286,0.3887,0.5684,0.496,0.4169,0.5369,0.569,0.3714,0.1298,0.522,0.3142,0.6179,0.5299,0.2337,0.1867,0.4636,0.5694,0.4346,0.5389,0.1499,0.412
ENB.TO,0.0916,0.0938,0.4828,0.4137,0.2167,0.6622,0.5636,0.6974,0.5865,0.6819,0.5061,0.4041,0.4391,0.3311,0.6729,0.6568,0.516,0.5156,0.3013,0.5124,0.5845,0.3304,0.5719,1.0,0.393,0.0818,0.3479,0.5906,0.4386,0.383,0.4686,0.4444,0.577,0.0675,0.399,0.6421,0.4393,0.3469,0.6548,0.4757,0.4339,0.6531,0.7795,0.4795,0.5251,0.69,0.4443,0.2098,0.6304,0.63,0.6196,0.6806,0.4766,0.3827,0.3688,0.787,0.3455,0.4732,0.0628,0.4597
FM.TO,0.2116,0.2487,0.2088,0.235,0.1339,0.3118,0.3075,0.4561,0.4225,0.4274,0.3217,0.2367,0.2674,0.313,0.4349,0.4231,0.3713,0.3773,0.2148,0.3426,0.4085,0.1945,0.237,0.393,1.0,0.2707,0.2831,0.226,0.2569,0.2962,0.1589,0.2558,0.4021,0.2485,0.1455,0.4761,0.4477,0.1065,0.4231,0.4249,0.2998,0.4283,0.4269,0.2263,0.2477,0.4697,0.2296,0.183,0.458,0.4319,0.293,0.4628,0.6198,0.3794,0.1947,0.3492,0.1516,0.1926,0.2699,0.337
FNV.TO,0.7484,0.7339,0.118,0.0944,0.1111,0.1,0.0807,-0.0468,0.0634,-0.0144,-0.0915,0.0973,-0.0517,0.1701,-0.0084,0.008,0.0965,0.1026,0.0896,-0.0023,0.0495,0.0823,0.1372,0.0818,0.2707,1.0,0.0961,0.1506,0.0974,-0.0231,0.1171,0.1426,0.031,0.7404,0.0739,-0.0242,-0.003,0.1083,0.0015,0.069,0.1298,0.0156,0.1033,-0.0165,0.0585,0.0384,0.0769,0.121,0.0658,0.0507,0.0844,-0.0112,0.1459,0.0639,0.0835,0.0902,0.1346,0.077,0.773,0.0483
FSV.TO,0.097,0.1022,0.3814,0.366,0.3049,0.4363,0.457,0.4441,0.5212,0.4202,0.3737,0.4459,0.3809,0.1837,0.4023,0.1607,0.3739,0.3552,0.4224,0.4156,0.1457,0.357,0.4033,0.3479,0.2831,0.0961,1.0,0.4066,0.4369,0.3245,0.3869,0.3876,0.1538,0.1107,0.3406,0.3999,0.4233,0.3209,0.4743,0.2383,0.4738,0.4782,0.3441,0.3651,0.3411,0.4553,0.3125,0.3783,0.448,0.1557,0.3968,0.4224,0.2428,0.1571,0.4334,0.3346,0.3395,0.363,0.1229,0.4136
FTS.TO,0.182,0.1729,0.6848,0.379,0.1132,0.735,0.6237,0.5304,0.5332,0.5618,0.3625,0.4318,0.3703,0.151,0.5053,0.2981,0.4276,0.4438,0.295,0.4425,0.2096,0.3716,0.8688,0.5906,0.226,0.1506,0.4066,1.0,0.4394,0.2954,0.7492,0.4998,0.2639,0.1362,0.5365,0.4745,0.3076,0.48,0.5447,0.3348,0.4066,0.6188,0.5318,0.4332,0.5748,0.5842,0.4018,0.1251,0.5447,0.2983,0.6517,0.5306,0.2515,0.1697,0.4964,0.5956,0.4729,0.5436,0.1642,0.4027
GIB-A.TO,0.0841,0.0987,0.3563,0.4263,0.2625,0.4724,0.3897,0.4515,0.5333,0.4434,0.4182,0.3697,0.397,0.2285,0.3893,0.332,0.4583,0.4128,0.5069,0.4215,0.2411,0.4124,0.4088,0.4386,0.2569,0.0974,0.4369,0.4394,1.0,0.4411,0.3251,0.4197,0.2962,0.0982,0.3135,0.4825,0.4273,0.2895,0.4238,0.2682,0.5928,0.4811,0.3948,0.4261,0.3542,0.4718,0.3419,0.3406,0.5186,0.3156,0.4749,0.4285,0.2901,0.1459,0.5008,0.3981,0.4468,0.3518,0.1096,0.4409
